id,name,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,primary_type,n_types,sec_type_bug,sec_type_dark,sec_type_dragon,sec_type_electric,sec_type_fairy,sec_type_fighting,sec_type_fire,sec_type_flying,sec_type_ghost,sec_type_grass,sec_type_ground,sec_type_ice,sec_type_none,sec_type_normal,sec_type_poison,sec_type_psychic,sec_type_rock,sec_type_steel,sec_type_water
1,bulbasaur,7,69,64.0,45,49,49,65,65,45,grass,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2,ivysaur,10,130,142.0,60,62,63,80,80,60,grass,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3,venusaur,20,1000,236.0,80,82,83,100,100,80,grass,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
4,charmander,6,85,62.0,39,52,43,60,50,65,fire,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5,charmeleon,11,190,142.0,58,64,58,80,65,80,fire,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6,charizard,17,905,240.0,78,84,78,109,85,100,fire,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
7,squirtle,5,90,63.0,44,48,65,50,64,43,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8,wartortle,10,225,142.0,59,63,80,65,80,58,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
9,blastoise,16,855,239.0,79,83,100,85,105,78,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
10,caterpie,3,29,39.0,45,30,35,20,20,45,bug,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
11,metapod,7,99,72.0,50,20,55,25,25,30,bug,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
12,butterfree,11,320,178.0,60,45,50,90,80,70,bug,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
13,weedle,3,32,39.0,40,35,30,20,20,50,bug,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
14,kakuna,6,100,72.0,45,25,50,25,25,35,bug,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
15,beedrill,10,295,178.0,65,90,40,45,80,75,bug,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
16,pidgey,3,18,50.0,40,45,40,35,35,56,normal,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
17,pidgeotto,11,300,122.0,63,60,55,50,50,71,normal,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
18,pidgeot,15,395,216.0,83,80,75,70,70,101,normal,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
19,rattata,3,35,51.0,30,56,35,25,35,72,normal,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
20,raticate,7,185,145.0,55,81,60,50,70,97,normal,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
21,spearow,3,20,52.0,40,60,30,31,31,70,normal,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
22,fearow,12,380,155.0,65,90,65,61,61,100,normal,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
23,ekans,20,69,58.0,35,60,44,40,54,55,poison,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
24,arbok,35,650,157.0,60,95,69,65,79,80,poison,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
25,pikachu,4,60,112.0,35,55,40,50,50,90,electric,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
26,raichu,8,300,218.0,60,90,55,90,80,110,electric,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
27,sandshrew,6,120,60.0,50,75,85,20,30,40,ground,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
28,sandslash,10,295,158.0,75,100,110,45,55,65,ground,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
29,nidoran-f,4,70,55.0,55,47,52,40,40,41,poison,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
30,nidorina,8,200,128.0,70,62,67,55,55,56,poison,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
31,nidoqueen,13,600,227.0,90,92,87,75,85,76,poison,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
32,nidoran-m,5,90,55.0,46,57,40,40,40,50,poison,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
33,nidorino,9,195,128.0,61,72,57,55,55,65,poison,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
34,nidoking,14,620,227.0,81,102,77,85,75,85,poison,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
35,clefairy,6,75,113.0,70,45,48,60,65,35,fairy,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
36,clefable,13,400,217.0,95,70,73,95,90,60,fairy,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
37,vulpix,6,99,60.0,38,41,40,50,65,65,fire,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
38,ninetales,11,199,177.0,73,76,75,81,100,100,fire,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
39,jigglypuff,5,55,95.0,115,45,20,45,25,20,normal,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,wigglytuff,10,120,196.0,140,70,45,85,50,45,normal,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,zubat,8,75,49.0,40,45,35,30,40,55,poison,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
42,golbat,16,550,159.0,75,80,70,65,75,90,poison,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
43,oddish,5,54,64.0,45,50,55,75,65,30,grass,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
44,gloom,8,86,138.0,60,65,70,85,75,40,grass,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
45,vileplume,12,186,221.0,75,80,85,110,90,50,grass,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
46,paras,3,54,57.0,35,70,55,45,55,25,bug,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
47,parasect,10,295,142.0,60,95,80,60,80,30,bug,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
48,venonat,10,300,61.0,60,55,50,40,55,45,bug,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
49,venomoth,15,125,158.0,70,65,60,90,75,90,bug,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
50,diglett,2,8,53.0,10,55,25,35,45,95,ground,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
51,dugtrio,7,333,149.0,35,100,50,50,70,120,ground,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
52,meowth,4,42,58.0,40,45,35,40,40,90,normal,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
53,persian,10,320,154.0,65,70,60,65,65,115,normal,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
54,psyduck,8,196,64.0,50,52,48,65,50,55,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
55,golduck,17,766,175.0,80,82,78,95,80,85,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
56,mankey,5,280,61.0,40,80,35,35,45,70,fighting,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
57,primeape,10,320,159.0,65,105,60,60,70,95,fighting,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
58,growlithe,7,190,70.0,55,70,45,70,50,60,fire,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
59,arcanine,19,1550,194.0,90,110,80,100,80,95,fire,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
60,poliwag,6,124,60.0,40,50,40,40,40,90,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
61,poliwhirl,10,200,135.0,65,65,65,50,50,90,water,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
62,poliwrath,13,540,230.0,90,95,95,70,90,70,water,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
63,abra,9,195,62.0,25,20,15,105,55,90,psychic,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
64,kadabra,13,565,140.0,40,35,30,120,70,105,psychic,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
65,alakazam,15,480,225.0,55,50,45,135,95,120,psychic,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
66,machop,8,195,61.0,70,80,50,35,35,35,fighting,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
67,machoke,15,705,142.0,80,100,70,50,60,45,fighting,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
68,machamp,16,1300,227.0,90,130,80,65,85,55,fighting,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
69,bellsprout,7,40,60.0,50,75,35,70,30,40,grass,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
70,weepinbell,10,64,137.0,65,90,50,85,45,55,grass,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
71,victreebel,17,155,221.0,80,105,65,100,70,70,grass,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
72,tentacool,9,455,67.0,40,40,35,50,100,70,water,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
73,tentacruel,16,550,180.0,80,70,65,80,120,100,water,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
74,geodude,4,200,60.0,40,80,100,30,30,20,rock,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
75,graveler,10,1050,137.0,55,95,115,45,45,35,rock,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
76,golem,14,3000,223.0,80,120,130,55,65,45,rock,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
77,ponyta,10,300,82.0,50,85,55,65,65,90,fire,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
78,rapidash,17,950,175.0,65,100,70,80,80,105,fire,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
79,slowpoke,12,360,63.0,90,65,65,40,40,15,water,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
80,slowbro,16,785,172.0,95,75,110,100,80,30,water,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
81,magnemite,3,60,65.0,25,35,70,95,55,45,electric,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
